,0,1,2,3,4,5,6,7,8,9,10,11
24,Vda9DsJAm6GeE1oMVVqwcQ,half-baked-columbus,HalfBaked,https://www.yelp.com/biz/half-baked-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,6,,1275.9329592780,39.978045,-83.003932,4.5,"Breweries, Music Venues, Dive Bars",
25,QNIUcuoO3cTh98ztUvmT5Q,johnsons-real-ice-cream-bexley-3,Johnson'sRealIceCream,https://www.yelp.com/biz/johnsons-real-ice-cream-bexley-3?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,112,+16142310014,6207.1932586487,39.957080,-82.925880,4.0,"Ice Cream & Frozen Yogurt, Juice Bars & Smoothies","pickup, delivery"
26,Ob-fEQNqWgCOxjDlW2jfWg,noodles-and-company-columbus-5,Noodles&Company,https://www.yelp.com/biz/noodles-and-company-columbus-5?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,43,+16144531095,2970.1635099690,40.005655,-83.008890,3.5,"Noodles, Salad, Pasta Shops","pickup, delivery"
27,Fh2ytyazIXSAWSsUkMOlnQ,peppers-columbus,Pepper's,https://www.yelp.com/biz/peppers-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,19,+16142686699,3569.1603124116,40.013960,-82.980050,3.5,"Chicken Wings, Fish & Chips, Seafood",delivery
28,Gr4-knYkEFGhDehOkaXgxQ,crimson-columbus,Crimson,https://www.yelp.com/biz/crimson-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,53,+16145320053,10323.9078487866,40.054601,-82.913313,4.0,Coffee & Tea,delivery
29,91E_lIBwGg5KRU5dcb7owA,bds-mongolian-grill-columbus-2,BD'sMongolianGrill,https://www.yelp.com/biz/bds-mongolian-grill-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,196,+16144711000,10136.6258665457,40.054310,-82.916240,3.0,Mongolian,"pickup, delivery"
30,uyvvzHJ9tlXZ-DEbCJ81Zg,wings-restaurant-columbus-2,Wing'sRestaurant,https://www.yelp.com/biz/wings-restaurant-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,89,+16142368261,6412.6436419231,39.956500,-82.923710,3.0,"Chinese, Desserts, Sandwiches",delivery
31,Gc7p9jDEhJe9R4327JoLSQ,dibellas-subs-columbus-2,DiBella'sSubs,https://www.yelp.com/biz/dibellas-subs-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,99,+16142911993,3194.7696922988,39.991600,-83.026232,3.5,"Sandwiches, Delis, Salad","pickup, delivery"
32,dvTdMX5UBkgiXhOX-j5RoQ,bibibop-asian-grill-columbus-7,BIBIBOPAsianGrill,https://www.yelp.com/biz/bibibop-asian-grill-columbus-7?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,72,+16142697933,9882.9761439019,40.050685,-82.915274,4.0,"Asian Fusion, Salad, Gluten-Free","pickup, delivery"
33,cqiguPublGQ3BCvX3ztW7w,castello-pizza-columbus,CastelloPizza,https://www.yelp.com/biz/castello-pizza-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,10,+16145985751,3807.8513882874,40.016000,-83.002330,4.0,"Italian, Pizza, Burgers","pickup, delivery"
34,6PpeGbI78N9yKHTarsrsVA,firehouse-subs-columbus-5,FirehouseSubs,https://www.yelp.com/biz/firehouse-subs-columbus-5?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,46,+16142981324,3543.7684129674,39.987360,-83.031660,3.5,"Sandwiches, Fast Food, Delis","pickup, delivery"
35,SRIhCTfwxFairf2cCC0h-g,the-melting-pot-columbus-3,TheMeltingPot,https://www.yelp.com/biz/the-melting-pot-columbus-3?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,267,+16144765500,9788.4998313068,40.049100,-82.914630,3.5,Fondue,delivery
36,tknmuyOnYeVLP4yN-CSvnQ,tortilla-columbus,Tortilla,https://www.yelp.com/biz/tortilla-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,37,+16142094795,2880.6956804319,39.957842,-82.998632,4.0,"Mexican, Imported Food",
37,N-C0-XD3Ytng9iYUiApzuw,la-poblanita-columbus-2,LaPoblanita,https://www.yelp.com/biz/la-poblanita-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,103,+16145989539,6120.1546579027,40.037458,-83.000703,4.5,"Food Stands, Mexican",delivery
38,eyUrgP6fuVk9sJ83NhXRng,brio-italian-grille-columbus-3,BrioItalianGrille,https://www.yelp.com/biz/brio-italian-grille-columbus-3?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,459,+16144164745,9777.0285734405,40.049486,-82.915360,3.5,"Italian, Pizza, Cocktail Bars","pickup, delivery"
39,xhJolvHRMGSSe8ojkOs6Ag,zaki-grill-columbus,ZakiGrill,https://www.yelp.com/biz/zaki-grill-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,63,+16143771274,1441.2924334581,39.992390,-83.005608,4.5,"Food Trucks, Mediterranean, Middle Eastern",
40,jz_48gSYXfEx0d8zKAM21Q,khaab-indian-kitchen-and-bar-bexley,KhaabIndianKitchen&Bar,https://www.yelp.com/biz/khaab-indian-kitchen-and-bar-bexley?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,31,+16142375500,5540.0583252927,39.957313,-82.934740,4.5,"Indian, Wine Bars, Cocktail Bars","delivery, pickup"
41,ZZBctjdwHaDs4_RhRNXWYg,taste-of-greece-columbus,TasteofGreece,https://www.yelp.com/biz/taste-of-greece-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,73,+16149025748,3566.3135940315,39.962532,-82.958218,4.5,"Greek, Food Stands, Moroccan","delivery, pickup"
42,7oT-X7DRKMGLSLLQ5Tp8zw,jenis-splendid-ice-creams-columbus-2,Jeni'sSplendidIceCreams,https://www.yelp.com/biz/jenis-splendid-ice-creams-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,60,+16144456513,4311.7001654665,39.944234,-82.992451,4.5,Ice Cream & Frozen Yogurt,"delivery, pickup"
